% B field (T), voltage (mV)), voltage uncertainty (mV), Current (A),thickness (cm)
0.50, 0.000364, 0.000101, 5.00, 0.10
0.59, 5.78e-05, 0.000274, 5.00, 0.10
0.68, 0.000171, 0.000221, 5.00, 0.10
0.78, 0.000585, 0.000133, 5.00, 0.10
0.87, 0.000251, 0.00021, 5.00, 0.10
0.96, 0.000697, 9.89e-05, 5.00, 0.10
1.05, 0.000689, 0.000264, 5.00, 0.10
1.14, 0.000574, 0.000179, 5.00, 0.10
1.24, 0.000647, 0.000148, 5.00, 0.10
1.33, 0.000464, 0.00013, 5.00, 0.10
1.42, 0.00102, 0.000144, 5.00, 0.10
1.51, 0.000794, 0.000134, 5.00, 0.10
1.60, 0.000798, 9.23e-05, 5.00, 0.10
1.69, 0.000758, 0.000146, 5.00, 0.10
1.79, 0.000898, 0.000239, 5.00, 0.10
1.88, 0.00106, 0.000264, 5.00, 0.10
1.97, 0.000803, 0.000293, 5.00, 0.10
2.06, 0.00134, 0.000111, 5.00, 0.10
2.15, 0.00124, 0.00021, 5.00, 0.10
2.25, 0.00128, 0.000279, 5.00, 0.10
2.34, 0.0014, 0.000239, 5.00, 0.10
2.43, 0.00139, 0.000127, 5.00, 0.10
2.52, 0.00147, 0.00019, 5.00, 0.10
2.61, 0.00113, 0.000232, 5.00, 0.10
2.70, 0.00137, 0.000296, 5.00, 0.10
2.80, 0.00169, 0.000218, 5.00, 0.10
2.89, 0.00145, 0.00012, 5.00, 0.10
2.98, 0.00153, 0.000166, 5.00, 0.10
3.07, 0.00177, 0.000126, 5.00, 0.10
3.16, 0.00173, 0.000284, 5.00, 0.10
3.25, 0.00162, 0.000182, 5.00, 0.10
3.35, 0.00192, 0.000303, 5.00, 0.10
3.44, 0.00157, 0.000181, 5.00, 0.10
3.53, 0.00181, 0.000173, 5.00, 0.10
3.62, 0.00193, 0.000247, 5.00, 0.10
3.71, 0.00181, 0.000189, 5.00, 0.10
3.81, 0.00226, 0.000157, 5.00, 0.10
3.90, 0.00201, 0.000301, 5.00, 0.10
3.99, 0.00238, 0.000168, 5.00, 0.10
4.08, 0.00231, 0.00014, 5.00, 0.10
4.17, 0.00241, 9.82e-05, 5.00, 0.10
4.26, 0.00235, 0.000213, 5.00, 0.10
