%angle(deg)  function(angle)  error
-270.000  0.195  2.325e-01
-258.541  1.471  2.250e-01
-247.082  1.511  2.425e-01
-235.623  0.740  1.850e-01
-224.163  0.250  2.250e-01
-212.704  -0.249  2.225e-01
-201.245  -0.201  2.475e-01
-189.786  -0.893  1.850e-01
-178.327  -1.141  2.475e-01
-166.868  -1.532  1.975e-01
-155.408  -1.116  2.375e-01
-143.949  -0.932  2.150e-01
-132.490  -0.187  1.900e-01
-121.031  0.124  2.150e-01
-109.572  -0.322  2.400e-01
-98.113  -0.677  1.775e-01
-86.654  -0.902  1.825e-01
-75.194  -0.662  1.950e-01
-63.735  -0.932  1.850e-01
-52.276  -0.899  2.125e-01
-40.817  -0.628  2.150e-01
-29.358  -0.316  2.400e-01
-17.899  0.956  2.200e-01
-6.439  1.443  2.300e-01
5.020  1.170  1.750e-01
16.479  0.877  1.925e-01
27.938  0.441  1.875e-01
39.397  0.708  2.425e-01
50.856  0.125  2.300e-01
62.316  -0.495  2.000e-01
73.775  0.130  1.925e-01
85.234  0.968  2.125e-01
96.693  0.634  1.800e-01
108.152  1.476  2.050e-01
119.611  1.134  2.425e-01
131.070  0.806  1.850e-01
142.530  0.583  2.400e-01
153.989  -0.098  2.300e-01
165.448  -0.422  2.200e-01
176.907  -1.195  1.800e-01
188.366  -0.870  2.225e-01
199.825  -1.239  2.050e-01
211.285  -0.752  1.925e-01
222.744  -0.647  2.300e-01
234.203  -0.050  2.400e-01
245.662  -0.309  1.800e-01
257.121  -0.608  1.950e-01
268.580  -0.968  2.100e-01
